Iteration 93000, loss = 0.253, ber = 0.01017
Iteration 94000, loss = 0.248, ber = 0.00996
Iteration 95000, loss = 0.250, ber = 0.01009
Iteration 96000, loss = 0.248, ber = 0.00984
Iteration 97000, loss = 0.241, ber = 0.00957
Iteration 98000, loss = 0.250, ber = 0.01004
Iteration 99000, loss = 0.241, ber = 0.00964
Iteration 100000, loss = 0.252, ber = 0.01013
Iteration 101000, loss = 0.245, ber = 0.00983
Iteration 102000, loss = 0.255, ber = 0.01040
Iteration 103000, loss = 0.244, ber = 0.00989
Iteration 104000, loss = 0.243, ber = 0.00985
Iteration 105000, loss = 0.243, ber = 0.00964
Iteration 106000, loss = 0.250, ber = 0.01000
Iteration 107000, loss = 0.250, ber = 0.00991
Iteration 108000, loss = 0.248, ber = 0.00981
Iteration 109000, loss = 0.258, ber = 0.01051
Iteration 110000, loss = 0.240, ber = 0.00943
Iteration 111000, loss = 0.249, ber = 0.01006
Iteration 112000, loss = 0.249, ber = 0.01008
Iteration 113000, loss = 0.248, ber = 0.01009
Iteration 114000, loss = 0.239, ber = 0.00964
Iteration 115000, loss = 0.244, ber = 0.00983
Iteration 116000, loss = 0.244, ber = 0.00983
Iteration 117000, loss = 0.247, ber = 0.00987
Iteration 118000, loss = 0.240, ber = 0.00953
Iteration 119000, loss = 0.244, ber = 0.00980
Iteration 120000, loss = 0.241, ber = 0.00968
Iteration 121000, loss = 0.238, ber = 0.00954
Iteration 122000, loss = 0.248, ber = 0.00997
Iteration 123000, loss = 0.243, ber = 0.00983
Iteration 124000, loss = 0.249, ber = 0.00997
Iteration 125000, loss = 0.248, ber = 0.00991
Iteration 126000, loss = 0.248, ber = 0.00998
Iteration 127000, loss = 0.250, ber = 0.01008
Iteration 128000, loss = 0.244, ber = 0.00977
Iteration 129000, loss = 0.245, ber = 0.00990
Iteration 130000, loss = 0.258, ber = 0.01054
Iteration 131000, loss = 0.248, ber = 0.01003
Iteration 132000, loss = 0.240, ber = 0.00952
Iteration 133000, loss = 0.245, ber = 0.00989
Iteration 134000, loss = 0.246, ber = 0.00983
Iteration 135000, loss = 0.239, ber = 0.00948
Iteration 136000, loss = 0.250, ber = 0.01012
Iteration 137000, loss = 0.241, ber = 0.00963
Iteration 138000, loss = 0.256, ber = 0.01032
Iteration 139000, loss = 0.244, ber = 0.00957
Iteration 140000, loss = 0.255, ber = 0.01019
Iteration 141000, loss = 0.241, ber = 0.00981
Iteration 142000, loss = 0.244, ber = 0.01000
Iteration 143000, loss = 0.238, ber = 0.00974
Iteration 144000, loss = 0.251, ber = 0.01022
Iteration 145000, loss = 0.246, ber = 0.00996
Iteration 146000, loss = 0.244, ber = 0.00967
Iteration 147000, loss = 0.256, ber = 0.01035
Iteration 148000, loss = 0.246, ber = 0.01012
Iteration 149000, loss = 0.242, ber = 0.00976
Iteration 150000, loss = 0.245, ber = 0.00987
Iteration 151000, loss = 0.251, ber = 0.01018
Iteration 152000, loss = 0.244, ber = 0.00997
Iteration 153000, loss = 0.251, ber = 0.00998
Iteration 154000, loss = 0.241, ber = 0.00951
Iteration 155000, loss = 0.243, ber = 0.00960
Iteration 156000, loss = 0.253, ber = 0.01019
Iteration 157000, loss = 0.245, ber = 0.00980
Iteration 158000, loss = 0.249, ber = 0.00994
Iteration 159000, loss = 0.246, ber = 0.00992
